date	uid	event	value	timestamp
2013-01-31	2139	visit	2	1359647748000
2013-01-31	121	visit	8	1359647705000
2013-01-31	751	visit	1	1359647654000
2013-01-31	18285	visit	5	1359647796482
2013-01-31	18285	visit	1	1359647788906
2013-01-31	123	visit	8	1359647832417
2013-01-31	427	visit	1	1359646318000
2013-01-31	18285	visit	4	1359647795280
2013-01-31	18284	uninstall.	1	1359647902243
2013-01-31	38	visit	3	1359647703329
2013-01-31	18285	install.	4	1359647719824
2013-01-31	18244	visit	9	1359647572000
2013-01-31	121	visit	2	1359647476000
2013-01-31	18285	install.	8	1359647795153
2013-02-01	19	visit	2	1359648112595
2013-02-01	18286	visit	6	1359648067279
2013-02-01	18146	visit	5	1359648242156
2013-02-01	427	visit	3	1359648206073
2013-01-31	670	visit	1	1359645836000
2013-02-01	427	visit	5	1359648281000
2013-01-31	121	visit	5	1359647851000
2013-02-01	18113	visit	8	1359648079000
2013-02-01	18286	visit	0	1359648065356
2013-02-01	123	visit	1	1359648603008
2013-02-01	329	visit	6	1359648197000
2013-02-01	18288	visit	0	1359648445428
2013-02-01	18288	install.	7	1359648445292
2013-02-01	18165	visit	1	1359648524915
2013-02-01	18288	visit	4	1359648447958
2013-02-01	18166	visit	2	1359648613935
2013-02-01	18115	visit	6	1359648809246
2013-02-01	18291	install.	8	1359648788666
2013-02-01	18141	visit	7	1359648847743
2013-02-01	18115	visit	7	1359648810644
2013-02-01	18292	uninstall.	9	1359649161539
2013-02-01	123	visit	9	1359648925000
2013-02-01	38	visit	3	1359648852000
2013-02-01	18128	visit	8	1359648964000
2013-02-01	19	visit	7	1359649123242
2013-02-01	18113	visit	3	1359649269899
2013-02-01	19	visit	1	1359649350061
2013-02-01	4895	visit	9	1359649078000
2013-02-01	38	visit	1	1359648975000
2013-02-01	18115	install.	7	1359649793305
2013-02-01	366	visit	5	1359649353000
2013-02-01	1060	visit	9	1359649516000
2013-02-01	18295	visit	7	1359649663410
2013-02-01	1615	visit	1	1359648917000
2013-02-01	18293	visit	2	1359649639520
2013-02-01	18163	visit	5	1359649798654
2013-02-01	18168	visit	7	1359649339000
2013-02-01	121	visit	0	1359649471000
2013-02-01	121	visit	5	1359649394000
2013-02-01	18295	visit	1	1359649661235
2013-02-01	121	visit	2	1359649394000
2013-02-01	18115	visit	6	1359649795121
2013-02-01	2860	visit	4	1359649833000
2013-02-01	18300	visit	0	1359650028187
2013-02-01	688	visit	4	1359649897000
2013-02-01	18301	visit	0	1359650091693
2013-02-01	18301	install.	0	1359650088565
2013-02-01	18301	visit	1	1359650088821
2013-02-01	38	visit	3	1359649776000
2013-02-01	18298	visit	6	1359649952611
2013-02-01	15179	visit	5	1359649833645
2013-02-01	19	visit	6	1359649872944
2013-02-01	18084	visit	2	1359649875713
2013-02-01	121	visit	4	1359649726000
2013-02-01	18278	visit	2	1359649974913
2013-02-01	19	visit	4	1359650050678
2013-02-01	670	visit	9	1359649654000
2013-01-31	670	visit	0	1359641618000
2013-02-01	18249	visit	4	1359649931865
2013-02-01	121	visit	9	1359650386844
2013-01-31	670	visit	8	1359647441000
2013-01-31	4765	visit	1	1359570280000
2013-02-01	18303	visit	0	1359650343364
2013-02-01	427	visit	2	1359650035000
2013-01-31	366	visit	8	1359642923000
2013-02-01	18304	visit	4	1359650143299
2013-02-01	366	visit	7	1359650468000
2013-01-31	123	visit	8	1359581880000
