uid	register_time	ref0	ref1	last_login_time
19	20121228075838	facebook	ad1	20130207183145
43	20130112073837	adwords	ad1	20130112073927
85	20130118153239	adwords	ad1	20130118153239
91	20130118155617	adwords	ad1	20130118155617
97	20130118161004	adwords	ad1	20130118161004
103	20130118161647	adwords	ad0	20130118161647
115	20130118165336	adwords	ad1	20130118165336
121	20130118170700	adwords	ad1	20130207182655
127	20130118173151	adwords	ad0	20130118173151
139	20130118175019	adwords	ad1	20130119050009
145	20130118180157	adwords	ad0	20130118180157
151	20130118180923	adwords	ad1	20130118180923
157	20130118181220	facebook	ad0	20130118181220
169	20130118184456	facebook	ad0	20130118184631
175	20130118184744	facebook	ad0	20130118184744
181	20130118185648	facebook	ad0	20130118185648
187	20130118190459	adwords	ad0	20130118190459
199	20130118193149	adwords	ad0	20130118193349
205	20130118194157	adwords	ad0	20130118194157
211	20130118195241	adwords	ad0	20130118195241
217	20130118195830	adwords	ad1	20130118195830
223	20130118200308	adwords	ad1	20130118200308
235	20130118201850	adwords	ad0	20130118201850
241	20130118202446	adwords	ad0	20130118202446
263	20130118203923	facebook	ad1	20130118203923
275	20130118205440	adwords	ad0	20130118205440
287	20130118205811	facebook	ad0	20130118205811
293	20130118210323	facebook	ad1	20130118210323
299	20130118211232	adwords	ad0	20130118211232
311	20130118212614	facebook	ad0	20130118212616
323	20130118213652	facebook	ad1	20130118213657
329	20130118214139	facebook	ad0	20130207161712
335	20130118215236	adwords	ad0	20130118215236
341	20130118215632	adwords	ad1	20130118215720
347	20130118220317	adwords	ad1	20130118220317
353	20130118221142	adwords	ad0	20130118221142
359	20130118221733	facebook	ad0	20130118221738
371	20130118222320	adwords	ad0	20130118222320
377	20130118222637	facebook	ad1	20130118224352
383	20130118222655	facebook	ad0	20130118222655
389	20130118223448	adwords	ad0	20130118223552
413	20130118224929	adwords	ad0	20130130171149
419	20130118225135	adwords	ad0	20130118225532
425	20130118225916	adwords	ad0	20130118225916
431	20130118230848	adwords	ad0	20130118230848
443	20130118231728	adwords	ad0	20130118231728
455	20130118232635	adwords	ad1	20130118232635
461	20130118233238	adwords	ad0	20130118233252
473	20130118234857	adwords	ad1	20130118234857
497	20130119000200	facebook	ad1	20130120180904
503	20130119000940	adwords	ad0	20130119001242
509	20130119001017	facebook	ad0	20130121232641
519	20130119001625	adwords	ad0	20130119001625
531	20130119002233	adwords	ad0	20130123210010
537	20130119002940	adwords	ad0	20130119003411
543	20130119003111	adwords	ad0	20130119004415
549	20130119003858	adwords	ad0	20130119003858
555	20130119004001	facebook	ad1	20130119004001
567	20130119004918	adwords	ad1	20130119004918
561	20130119004949	facebook	ad0	20130119004943
579	20130119005715	adwords	ad0	20130119005715
585	20130119010404	adwords	ad0	20130119010404
597	20130119010929	adwords	ad1	20130119010929
603	20130119011130	adwords	ad1	20130207180926
609	20130119011231	adwords	ad0	20130119011231
615	20130119011648	adwords	ad1	20130119011644
621	20130119011729	adwords	ad0	20130119011729
627	20130119012357	adwords	ad0	20130119012605
633	20130119012834	adwords	ad0	20130119012834
639	20130119013303	facebook	ad0	20130119013303
645	20130119013313	adwords	ad0	20130119013313
651	20130119013355	adwords	ad0	20130119013355
657	20130119013602	adwords	ad0	20130119015526
669	20130119014116	adwords	ad0	20130119024639
663	20130119014152	adwords	ad0	20130119014152
675	20130119014836	adwords	ad1	20130119014836
687	20130119015120	adwords	ad0	20130119015138
699	20130119015655	adwords	ad1	20130119015655
705	20130119020159	adwords	ad1	20130119020251
717	20130119020543	adwords	ad0	20130119020543
711	20130119020603	adwords	ad0	20130121004351
723	20130119020901	adwords	ad1	20130119020901
729	20130119021351	adwords	ad0	20130119021351
735	20130119021831	facebook	ad0	20130119021831
741	20130119022134	adwords	ad1	20130119022346
753	20130119022346	adwords	ad0	20130119022346
759	20130119022814	adwords	ad1	20130119022814
769	20130119023108	adwords	ad0	20130120012948
775	20130119023204	adwords	ad0	20130119023204
793	20130119024418	adwords	ad0	20130119024616
805	20130119024500	adwords	ad1	20130119024500
799	20130119024800	adwords	ad0	20130119024800
811	20130119025210	adwords	ad0	20130119025210
817	20130119025317	adwords	ad0	20130119025317
829	20130119025933	adwords	ad1	20130119025933
823	20130119025937	adwords	ad1	20130119030013
835	20130119030035	adwords	ad0	20130119030035
841	20130119030535	adwords	ad1	20130119033545
847	20130119030815	facebook	ad0	20130119030815
853	20130119031026	adwords	ad1	20130119031026
883	20130119032024	adwords	ad0	20130119032024
877	20130119032200	facebook	ad0	20130119032200
889	20130119032529	facebook	ad0	20130119033121
895	20130119032540	adwords	ad0	20130119055832
907	20130119033338	adwords	ad0	20130119033338
913	20130119033420	facebook	ad0	20130119034149
925	20130119033854	adwords	ad0	20130119035906
